County,Population
Adams County,19983
Asotin County,22582
Benton County,204390
Chelan County,77200
Clallam County,77331
Clark County,488241
Columbia County,3985
Cowlitz County,110593
Douglas County,43429
Ferry County,7627
Franklin County,95222
Garfield County,2225
Grant County,97733
Grays Harbor County,75061
Island County,85141
Jefferson County,32221
King County,2252782
Kitsap County,271473
Kittitas County,47935
Klickitat County,22452
Lewis County,80707
Lincon County,10939
Mason County,66768
Okanogan County,42243
Pacific County,22471
Pend Oreille County,13724
Pierce County,904980
San Juan County,17582
Skagit County,129205
Skamania County,12038
Snohomish County,822083
Spokane County,522798
Stevens County,45723
Thurston County,290536
Wahkiakum County,4488
Walla Walla County,60760
Whatcom County,229247
Whitman County,50104
Yakima County,250873
